Derived Type,Component,Type,Dimension
col_pp,snl,integer,1D
col_pp,dz,real,2D
col_pp,z,real,2D
col_pp,dz_lake,real,1D
col_pp,z_lake,real,1D
col_pp,lakedepth,real,1D
solarabs_vars,sabg_patch,real,1D
solarabs_vars,sabg_lyr_patch,real,2D
solarabs_vars,fsds_nir_d_patch,real,1D
solarabs_vars,fsds_nir_i_patch,real,1D
solarabs_vars,fsr_nir_d_patch,real,1D
solarabs_vars,fsr_nir_i_patch,real,1D
lakestate_vars,etal_col,real,1D
lakestate_vars,lake_raw_col,real,1D
lakestate_vars,ks_col,real,1D
lakestate_vars,ws_col,real,1D
lakestate_vars,lake_icefrac_col,real,2D
col_ws,h2osoi_liq,real,2D
col_ws,h2osoi_ice,real,2D
col_ws,h2osno,real,1D
col_ws,snow_depth,real,1D
col_es,t_soisno,real,2D
col_es,t_grnd,real,1D
col_es,t_lake,real,2D
veg_ef,eflx_sh_grnd,real,1D
veg_ef,eflx_sh_tot,real,1D
veg_ef,eflx_soil_grnd,real,1D
veg_ef,eflx_gnet,real,1D
veg_pp,column,integer,1D
soilstate_vars,watsat_col,real,1D
soilstate_vars,tkmg_col,real,1D
soilstate_vars,tkdry_col,real,1D
soilstate_vars,tksatu_col,real,1D
soilstate_vars,csol_col,real,1D
col_wf,qflx_snofrz,real,1D
col_ws,h2osoi_liq,real,2D
col_ws,h2osoi_ice,real,2D
col_ws,h2osno,real,1D
col_ws,snow_depth,real,1D
col_ws,frac_iceold,real,2D
col_wf,qflx_snomelt,real,1D
col_wf,qflx_snow_melt,real,1D
col_wf,qflx_snofrz_lyr,real,2D
col_wf,qflx_snofrz,real,1D
col_es,t_soisno,real,2D
col_es,t_lake,real,2D
col_es,hc_soi,real,1D
col_es,hc_soisno,real,1D
lakestate_vars,betaprime_col,real,1D
lakestate_vars,savedtke1_col,real,1D
lakestate_vars,lake_icefrac_col,real,2D
lakestate_vars,lake_icethick_col,real,1D
lakestate_vars,lakeresist_col,real,1D
ch4_vars,grnd_ch4_cond_col,real,1D
veg_ef,eflx_sh_grnd,real,1D
veg_ef,eflx_sh_tot,real,1D
veg_ef,eflx_soil_grnd,real,1D
veg_ef,eflx_gnet,real,1D
col_ef,eflx_snomelt,real,1D
col_ef,imelt,integer,2D
col_ef,errsoi,real,1D